file_name,ethnicity
179.jpg,Indian
180.jpg,Malay
181.jpg,Chinese
182.jpg,Chinese
183.jpg,Chinese
184.jpg,Indian
185.jpg,Indian
186.jpg,Indian
187.jpg,Indian
188.jpg,Malay
189.jpg,Malay
190.jpg,Malay
191.jpg,Chinese
192.jpg,Chinese
193.jpg,Malay
194.jpg,Malay
195.jpg,Chinese
196.jpg,Indian
197.jpg,Malay
198.jpg,Indian
199.jpg,Indian
200.jpg,Malay
201.jpg,Malay
202.jpg,Malay
203.jpg,Chinese
204.jpg,Malay
205.jpg,Indian
206.jpg,Chinese
207.jpg,Indian
208.jpg,Chinese
209.jpg,Indian
210.jpg,Indian
211.jpg,Malay
212.jpg,Chinese
213.jpg,Indian
214.jpg,Indian
215.jpg,Indian
216.jpg,Malay
217.jpg,Chinese
218.jpg,Indian
219.jpg,Chinese
220.jpg,Chinese
221.jpg,Malay
222.jpg,Chinese
223.jpg,Indian
224.jpg,Malay
225.jpg,Indian
226.jpg,Indian
227.jpg,Chinese
228.jpg,Indian
229.jpg,Indian
230.jpg,Chinese
231.jpg,Indian
232.jpg,Chinese
233.jpg,Indian
234.jpg,Chinese
235.jpg,Indian
236.jpg,Indian
237.jpg,Indian
238.jpg,Chinese
239.jpg,Indian
240.jpg,Chinese
241.jpg,Chinese
242.jpg,Chinese
243.jpg,Chinese
244.jpg,Malay
245.jpg,Indian
246.jpg,Malay
247.jpg,Chinese
248.jpg,Chinese
249.jpg,Chinese
250.jpg,Indian
251.jpg,Chinese
252.jpg,Indian
253.jpg,Chinese
254.jpg,Chinese
255.jpg,Malay
256.jpg,Indian
257.jpg,Malay
258.jpg,Malay
259.jpg,Indian
260.jpg,Malay
261.jpg,Chinese
262.jpg,Malay
263.jpg,Chinese
264.jpg,Indian
265.jpg,Indian
266.jpg,Malay
267.jpg,Indian
268.jpg,Indian
269.jpg,Chinese
270.jpg,Chinese
271.jpg,Malay
272.jpg,Indian
273.jpg,Malay
274.jpg,Indian
275.jpg,Malay
276.jpg,Indian
277.jpg,Malay
278.jpg,Indian
279.jpg,Indian
280.jpg,Indian
281.jpg,Chinese
282.jpg,Indian
283.jpg,Indian
284.jpg,Indian
285.jpg,Malay
286.jpg,Chinese
287.jpg,Chinese
288.jpg,Chinese
289.jpg,Chinese
290.jpg,Indian
291.jpg,Malay
292.jpg,Indian
293.jpg,Chinese
294.jpg,Chinese
295.jpg,Indian
296.jpg,Indian
297.jpg,Malay
298.jpg,Chinese
299.jpg,Chinese
300.jpg,Malay
301.jpg,Malay
302.jpg,Malay
303.jpg,Chinese
304.jpg,Indian
305.jpg,Chinese
306.jpg,Chinese
307.jpg,Indian
308.jpg,Malay
309.jpg,Indian
310.jpg,Malay
311.jpg,Chinese
312.jpg,Chinese
313.jpg,Malay
314.jpg,Malay
315.jpg,Chinese
316.jpg,Indian
317.jpg,Indian
318.jpg,Malay
319.jpg,Malay
320.jpg,Chinese
321.jpg,Indian
322.jpg,Indian
323.jpg,Indian
324.jpg,Malay
325.jpg,Indian
326.jpg,Indian
327.jpg,Malay
328.jpg,Malay
329.jpg,Chinese
330.jpg,Malay
331.jpg,Malay
332.jpg,Chinese
333.jpg,Malay
334.jpg,Malay
335.jpg,Chinese
336.jpg,Indian
337.jpg,Chinese
338.jpg,Indian
339.jpg,Chinese
340.jpg,Indian
341.jpg,Chinese
342.jpg,Indian
343.jpg,Indian
344.jpg,Chinese
345.jpg,Chinese
346.jpg,Chinese
347.jpg,Indian
348.jpg,Malay
349.jpg,Indian
350.jpg,Indian
351.jpg,Indian
352.jpg,Malay
353.jpg,Chinese
354.jpg,Indian
355.jpg,Chinese
356.jpg,Indian
357.jpg,Indian
358.jpg,Malay
359.jpg,Chinese
360.jpg,Malay
361.jpg,Indian
362.jpg,Chinese
363.jpg,Malay
364.jpg,Indian
365.jpg,Malay
366.jpg,Chinese
367.jpg,Chinese
368.jpg,Malay
369.jpg,Indian
370.jpg,Chinese
371.jpg,Chinese
372.jpg,Chinese
373.jpg,Chinese
374.jpg,Malay
375.jpg,Indian
376.jpg,Indian
377.jpg,Indian
378.jpg,Indian
379.jpg,Malay
380.jpg,Indian
381.jpg,Indian
382.jpg,Indian
383.jpg,Malay
384.jpg,Chinese
385.jpg,Chinese
386.jpg,Malay
387.jpg,Chinese
388.jpg,Chinese
389.jpg,Indian
390.jpg,Malay
391.jpg,Indian
392.jpg,Indian
393.jpg,Malay
394.jpg,Chinese
395.jpg,Chinese
396.jpg,Indian
397.jpg,Indian
398.jpg,Malay
399.jpg,Malay
400.jpg,Chinese
401.jpg,Malay
402.jpg,Chinese
403.jpg,Malay
404.jpg,Chinese
405.jpg,Chinese
406.jpg,Malay
407.jpg,Malay
408.jpg,Chinese
409.jpg,Malay
410.jpg,Malay
411.jpg,Indian
412.jpg,Malay
413.jpg,Indian
414.jpg,Indian
415.jpg,Malay
416.jpg,Indian
417.jpg,Malay
418.jpg,Chinese
419.jpg,Malay
420.jpg,Chinese
421.jpg,Indian
422.jpg,Malay
423.jpg,Indian
424.jpg,Indian
425.jpg,Chinese
426.jpg,Malay
427.jpg,Malay
428.jpg,Chinese
429.jpg,Malay
430.jpg,Malay
431.jpg,Chinese
432.jpg,Indian
433.jpg,Chinese
434.jpg,Indian
435.jpg,Malay
436.jpg,Chinese
437.jpg,Malay
438.jpg,Malay
439.jpg,Chinese
440.jpg,Malay
441.jpg,Indian
442.jpg,Chinese
443.jpg,Malay
444.jpg,Malay
445.jpg,Chinese
446.jpg,Malay
447.jpg,Indian
448.jpg,Chinese
449.jpg,Malay
450.jpg,Indian
451.jpg,Chinese
452.jpg,Indian
453.jpg,Malay
454.jpg,Indian
455.jpg,Chinese
456.jpg,Chinese
457.jpg,Chinese
458.jpg,Malay
459.jpg,Indian
460.jpg,Indian
461.jpg,Indian
462.jpg,Malay
463.jpg,Indian
464.jpg,Malay
465.jpg,Malay
466.jpg,Malay
467.jpg,Chinese
468.jpg,Indian
469.jpg,Chinese
470.jpg,Malay
471.jpg,Chinese
472.jpg,Chinese
473.jpg,Indian
474.jpg,Malay
475.jpg,Malay
476.jpg,Malay
477.jpg,Indian
478.jpg,Indian
479.jpg,Malay
480.jpg,Indian
481.jpg,Malay
482.jpg,Chinese
483.jpg,Chinese
484.jpg,Chinese
485.jpg,Indian
486.jpg,Chinese
487.jpg,Chinese
488.jpg,Indian
489.jpg,Malay
490.jpg,Indian
491.jpg,Chinese
492.jpg,Chinese
493.jpg,Chinese
494.jpg,Indian
495.jpg,Malay
496.jpg,Chinese
497.jpg,Indian
498.jpg,Malay
499.jpg,Chinese
500.jpg,Indian
501.jpg,Malay
502.jpg,Indian
503.jpg,Chinese
504.jpg,Malay
505.jpg,Chinese
506.jpg,Indian
507.jpg,Indian
508.jpg,Chinese
509.jpg,Indian
510.jpg,Indian
511.jpg,Chinese
512.jpg,Indian
513.jpg,Malay
514.jpg,Chinese
515.jpg,Malay
516.jpg,Chinese
517.jpg,Chinese
518.jpg,Indian
519.jpg,Malay
520.jpg,Malay
521.jpg,Malay
522.jpg,Malay
523.jpg,Indian
524.jpg,Indian
525.jpg,Chinese
526.jpg,Malay
527.jpg,Indian
528.jpg,Chinese
529.jpg,Indian
530.jpg,Chinese
531.jpg,Chinese
532.jpg,Chinese
533.jpg,Malay
534.jpg,Malay
535.jpg,Indian
536.jpg,Malay
537.jpg,Indian
538.jpg,Chinese
539.jpg,Chinese
540.jpg,Malay
541.jpg,Indian
542.jpg,Chinese
543.jpg,Chinese
544.jpg,Malay
545.jpg,Chinese
546.jpg,Chinese
547.jpg,Chinese
548.jpg,Indian
549.jpg,Chinese
550.jpg,Malay
551.jpg,Malay
552.jpg,Chinese
553.jpg,Malay
554.jpg,Chinese
555.jpg,Indian
556.jpg,Chinese
557.jpg,Malay
558.jpg,Indian
559.jpg,Malay
560.jpg,Indian
561.jpg,Indian
562.jpg,Malay
563.jpg,Chinese
564.jpg,Malay
565.jpg,Chinese
566.jpg,Chinese
567.jpg,Malay
568.jpg,Malay
569.jpg,Indian
570.jpg,Chinese
571.jpg,Indian
572.jpg,Indian
573.jpg,Malay
574.jpg,Indian
575.jpg,Malay
576.jpg,Indian
577.jpg,Malay
578.jpg,Indian
579.jpg,Malay
580.jpg,Chinese
581.jpg,Indian
582.jpg,Chinese
583.jpg,Indian
584.jpg,Chinese
585.jpg,Malay
586.jpg,Malay
587.jpg,Indian
588.jpg,Indian
589.jpg,Chinese
590.jpg,Chinese
591.jpg,Chinese
592.jpg,Chinese
593.jpg,Indian
594.jpg,Malay
595.jpg,Indian
596.jpg,Malay
597.jpg,Indian
598.jpg,Indian
599.jpg,Malay
600.jpg,Malay
601.jpg,Indian
602.jpg,Malay
603.jpg,Chinese
604.jpg,Indian
605.jpg,Malay
606.jpg,Malay
607.jpg,Malay
608.jpg,Indian
609.jpg,Chinese
610.jpg,Chinese
611.jpg,Malay
612.jpg,Malay
613.jpg,Chinese
614.jpg,Chinese
615.jpg,Indian
616.jpg,Chinese
617.jpg,Chinese
618.jpg,Chinese
619.jpg,Chinese
620.jpg,Indian
621.jpg,Malay
622.jpg,Chinese
623.jpg,Chinese
624.jpg,Indian
625.jpg,Malay
626.jpg,Indian
627.jpg,Malay
628.jpg,Indian
629.jpg,Malay
630.jpg,Indian
631.jpg,Malay
632.jpg,Malay
633.jpg,Chinese
634.jpg,Malay
635.jpg,Chinese
636.jpg,Chinese
637.jpg,Indian
638.jpg,Indian
639.jpg,Malay
640.jpg,Chinese
641.jpg,Indian
642.jpg,Malay
643.jpg,Indian
644.jpg,Malay
645.jpg,Malay
646.jpg,Indian
647.jpg,Malay
648.jpg,Chinese
649.jpg,Indian
650.jpg,Malay
651.jpg,Malay
652.jpg,Chinese
653.jpg,Indian
654.jpg,Malay
655.jpg,Indian
656.jpg,Malay
657.jpg,Chinese
658.jpg,Chinese
659.jpg,Chinese
660.jpg,Malay
661.jpg,Chinese
662.jpg,Chinese
663.jpg,Indian
664.jpg,Chinese
665.jpg,Chinese
666.jpg,Chinese
667.jpg,Chinese
668.jpg,Malay
669.jpg,Chinese
670.jpg,Chinese
671.jpg,Indian
672.jpg,Chinese
673.jpg,Malay
674.jpg,Chinese
675.jpg,Chinese
676.jpg,Malay
677.jpg,Indian
678.jpg,Malay
679.jpg,Malay
680.jpg,Chinese
681.jpg,Malay
682.jpg,Indian
683.jpg,Malay
684.jpg,Malay
685.jpg,Malay
686.jpg,Indian
687.jpg,Malay
688.jpg,Indian
689.jpg,Chinese
690.jpg,Chinese
691.jpg,Indian
692.jpg,Indian
693.jpg,Malay
694.jpg,Malay
695.jpg,Malay
696.jpg,Indian
697.jpg,Chinese
698.jpg,Indian
699.jpg,Indian
700.jpg,Malay
701.jpg,Chinese
702.jpg,Chinese
703.jpg,Chinese
704.jpg,Chinese
705.jpg,Chinese
706.jpg,Malay
707.jpg,Malay
708.jpg,Malay
709.jpg,Indian
710.jpg,Chinese
711.jpg,Indian
712.jpg,Indian
713.jpg,Malay
714.jpg,Chinese
715.jpg,Chinese
716.jpg,Malay
717.jpg,Chinese
718.jpg,Malay
719.jpg,Malay
720.jpg,Indian
721.jpg,Indian
722.jpg,Indian
723.jpg,Malay
724.jpg,Malay
725.jpg,Malay
726.jpg,Chinese
727.jpg,Indian
728.jpg,Indian
729.jpg,Chinese
730.jpg,Indian
731.jpg,Indian
732.jpg,Chinese
733.jpg,Indian
734.jpg,Indian
735.jpg,Malay
736.jpg,Chinese
737.jpg,Malay
738.jpg,Malay
739.jpg,Chinese
740.jpg,Indian
741.jpg,Malay
742.jpg,Malay
743.jpg,Chinese
744.jpg,Chinese
745.jpg,Indian
746.jpg,Malay
747.jpg,Chinese
748.jpg,Indian
749.jpg,Indian
750.jpg,Indian
751.jpg,Indian
752.jpg,Malay
753.jpg,Chinese
754.jpg,Chinese
755.jpg,Indian
756.jpg,Malay
757.jpg,Malay
758.jpg,Indian
759.jpg,Indian
760.jpg,Indian
761.jpg,Malay
762.jpg,Malay
763.jpg,Chinese
764.jpg,Malay
765.jpg,Chinese
766.jpg,Chinese
767.jpg,Chinese
768.jpg,Chinese
769.jpg,Malay
770.jpg,Malay
771.jpg,Indian
772.jpg,Malay
773.jpg,Indian
774.jpg,Malay
775.jpg,Malay
776.jpg,Indian
777.jpg,Indian
778.jpg,Indian
779.jpg,Indian
780.jpg,Indian
781.jpg,Chinese
782.jpg,Indian
783.jpg,Chinese
784.jpg,Malay
785.jpg,Malay
786.jpg,Indian
787.jpg,Indian
788.jpg,Chinese
789.jpg,Malay
790.jpg,Indian
791.jpg,Indian
792.jpg,Chinese
793.jpg,Indian
794.jpg,Indian
795.jpg,Chinese
796.jpg,Chinese
797.jpg,Chinese
798.jpg,Malay
799.jpg,Indian
800.jpg,Chinese
801.jpg,Malay
802.jpg,Malay
803.jpg,Malay
804.jpg,Malay
805.jpg,Chinese
806.jpg,Indian
807.jpg,Malay
808.jpg,Chinese
809.jpg,Indian
810.jpg,Chinese
811.jpg,Chinese
812.jpg,Malay
813.jpg,Chinese
814.jpg,Malay
815.jpg,Indian
816.jpg,Indian
817.jpg,Malay
818.jpg,Malay
819.jpg,Indian
820.jpg,Indian
821.jpg,Malay
822.jpg,Indian
823.jpg,Chinese
824.jpg,Indian
825.jpg,Chinese
826.jpg,Indian
827.jpg,Malay
828.jpg,Chinese
829.jpg,Chinese
830.jpg,Chinese
831.jpg,Chinese
832.jpg,Chinese
833.jpg,Malay
834.jpg,Chinese
835.jpg,Indian
836.jpg,Malay
837.jpg,Chinese
838.jpg,Malay
839.jpg,Indian
840.jpg,Indian
841.jpg,Chinese
842.jpg,Malay
843.jpg,Chinese
844.jpg,Indian
845.jpg,Malay
846.jpg,Indian
847.jpg,Malay
848.jpg,Indian
849.jpg,Indian
850.jpg,Indian
851.jpg,Indian
852.jpg,Chinese
853.jpg,Malay
854.jpg,Malay
855.jpg,Malay
856.jpg,Malay
857.jpg,Chinese
858.jpg,Chinese
859.jpg,Indian
860.jpg,Indian
861.jpg,Indian
862.jpg,Chinese
863.jpg,Chinese
864.jpg,Malay
865.jpg,Indian
866.jpg,Chinese
867.jpg,Indian
868.jpg,Chinese
869.jpg,Malay
870.jpg,Indian
871.jpg,Malay
872.jpg,Malay
873.jpg,Malay
874.jpg,Chinese
875.jpg,Chinese
876.jpg,Chinese
877.jpg,Chinese
878.jpg,Chinese
879.jpg,Malay
880.jpg,Chinese
881.jpg,Chinese
882.jpg,Malay
883.jpg,Malay
884.jpg,Malay
885.jpg,Malay
886.jpg,Malay
887.jpg,Indian
888.jpg,Malay
889.jpg,Indian
890.jpg,Chinese
891.jpg,Chinese
892.jpg,Malay
893.jpg,Chinese
894.jpg,Chinese
895.jpg,Malay
896.jpg,Chinese
897.jpg,Indian
898.jpg,Malay
899.jpg,Malay
900.jpg,Chinese
901.jpg,Chinese
902.jpg,Indian
903.jpg,Indian
904.jpg,Chinese
905.jpg,Malay
906.jpg,Malay
907.jpg,Chinese
908.jpg,Chinese
909.jpg,Chinese
910.jpg,Malay
911.jpg,Indian
912.jpg,Chinese
913.jpg,Indian
914.jpg,Chinese
915.jpg,Indian
916.jpg,Malay
917.jpg,Chinese
918.jpg,Chinese
919.jpg,Malay
920.jpg,Chinese
921.jpg,Indian
922.jpg,Indian
923.jpg,Indian
924.jpg,Chinese
925.jpg,Indian
926.jpg,Chinese
927.jpg,Indian
928.jpg,Chinese
929.jpg,Malay
930.jpg,Indian
931.jpg,Chinese
932.jpg,Chinese
933.jpg,Malay
934.jpg,Chinese
935.jpg,Malay
936.jpg,Malay
937.jpg,Chinese
938.jpg,Malay
939.jpg,Malay
940.jpg,Chinese
941.jpg,Malay
942.jpg,Malay
943.jpg,Indian
944.jpg,Indian
945.jpg,Indian
946.jpg,Malay
947.jpg,Indian
948.jpg,Malay
949.jpg,Malay
950.jpg,Chinese
951.jpg,Chinese
952.jpg,Indian
953.jpg,Malay
954.jpg,Malay
955.jpg,Malay
956.jpg,Chinese
957.jpg,Malay
958.jpg,Indian
959.jpg,Malay
960.jpg,Malay
961.jpg,Chinese
962.jpg,Indian
963.jpg,Malay
964.jpg,Malay
965.jpg,Chinese
966.jpg,Malay
967.jpg,Malay
968.jpg,Chinese
969.jpg,Malay
970.jpg,Chinese
971.jpg,Malay
972.jpg,Chinese
973.jpg,Malay
974.jpg,Chinese
975.jpg,Indian
976.jpg,Malay
977.jpg,Indian
978.jpg,Indian
979.jpg,Indian
980.jpg,Malay
981.jpg,Indian
982.jpg,Malay
983.jpg,Chinese
984.jpg,Chinese
985.jpg,Malay
986.jpg,Chinese
987.jpg,Chinese
988.jpg,Malay
989.jpg,Chinese
990.jpg,Chinese
991.jpg,Indian
992.jpg,Malay
993.jpg,Malay
994.jpg,Indian
995.jpg,Malay
996.jpg,Chinese
997.jpg,Malay
998.jpg,Chinese
999.jpg,Chinese
1000.jpg,Malay
1001.jpg,Chinese
1002.jpg,Malay
1003.jpg,Malay
1004.jpg,Indian
1005.jpg,Indian
1006.jpg,Malay
1007.jpg,Malay
1008.jpg,Malay
1009.jpg,Indian
1010.jpg,Indian
1011.jpg,Indian
1012.jpg,Chinese
1013.jpg,Malay
1014.jpg,Chinese
1015.jpg,Chinese
1016.jpg,Malay
1017.jpg,Indian
1018.jpg,Indian
1019.jpg,Chinese
1020.jpg,Indian
1021.jpg,Chinese
1022.jpg,Indian
1023.jpg,Malay
1024.jpg,Indian
1025.jpg,Indian
1026.jpg,Chinese
1027.jpg,Malay
1028.jpg,Malay
1029.jpg,Chinese
1030.jpg,Indian
1031.jpg,Chinese
1032.jpg,Indian
1033.jpg,Malay
1034.jpg,Chinese
1035.jpg,Chinese
1036.jpg,Indian
1037.jpg,Malay
1038.jpg,Chinese
1039.jpg,Malay
1040.jpg,Malay
1041.jpg,Chinese
1042.jpg,Indian
1043.jpg,Indian
1044.jpg,Malay
1045.jpg,Chinese
1046.jpg,Malay
1047.jpg,Indian
1048.jpg,Chinese
1049.jpg,Indian
1050.jpg,Malay
1051.jpg,Malay
1052.jpg,Indian
1053.jpg,Chinese
1054.jpg,Chinese
1055.jpg,Malay
1056.jpg,Chinese
1057.jpg,Malay
1058.jpg,Malay
1059.jpg,Malay
1060.jpg,Chinese
1061.jpg,Chinese
1062.jpg,Indian
1063.jpg,Malay
1064.jpg,Indian
1065.jpg,Indian
1066.jpg,Malay
1067.jpg,Malay
1068.jpg,Indian
1069.jpg,Malay
1070.jpg,Indian
1071.jpg,Indian
1072.jpg,Malay
1073.jpg,Indian
1074.jpg,Malay
1075.jpg,Chinese
1076.jpg,Indian
1077.jpg,Chinese
1078.jpg,Indian
1079.jpg,Chinese
1080.jpg,Malay
1081.jpg,Indian
1082.jpg,Indian
1083.jpg,Malay
1084.jpg,Malay
1085.jpg,Chinese
1086.jpg,Indian
1087.jpg,Indian
1088.jpg,Indian
1089.jpg,Malay
1090.jpg,Indian
1091.jpg,Indian
1092.jpg,Chinese
1093.jpg,Chinese
1094.jpg,Chinese
1095.jpg,Chinese
1096.jpg,Malay
1097.jpg,Malay
1098.jpg,Malay
1099.jpg,Malay
1100.jpg,Chinese
1101.jpg,Indian
1102.jpg,Malay
1103.jpg,Chinese
1104.jpg,Chinese
